File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
03033401	 33401	  34	  -41	  -0.72525	  1490400	 0.11983	 -8.3424e-05 
03033411	 33411	  34	  -41	  -1.4794	  1503200	 0.12004	 -0.00017034 
03033421	 33421	  34	  -41	  -2.9265	  1475000	 0.11813	 -0.00034198 
03033431	 33431	  34	  -41	  -4.4136	  1480600	 0.11843	 -0.00051471 
03033441	 33441	  34	  -41	  -5.9909	  1482400	 0.11893	 -0.00069491 
03033451	 33451	  34	  -41	  -7.2286	  1476900	 0.11829	 -0.00084362 
03033461	 33461	  34	  -41	  -14.991	  1479100	 0.11882	 -0.0017396 
03033471	 33471	  34	  -41	  -29.119	  1476600	 0.11882	 -0.0033769 
03033481	 33481	  34	  -41	  -43.863	  1475400	 0.11882	 -0.005085 
03033491	 33491	  34	  -41	  -58.366	  1476500	 0.11876	 -0.0067734 
03033501	 33501	  34	  -41	  -70.984	  1474000	 0.11876	 -0.0082323 
03033511	 33511	  34	  -41	  -85.767	  1472100	 0.11876	 -0.0099418 
03033521	 33521	  34	  -40	  -94.681	  1472500	 0.11864	 -0.010991 
03033531	 33531	  34	  -40	  -107.04	  1471300	 0.11864	 -0.012422 
03033541	 33541	  34	  -40	  -120.73	  1469400	 0.11864	 -0.014004 
03033551	 33551	  34	  -40	  -135.56	  1474900	 0.11893	 -0.015693 
03033561	 33561	  34	  -40	  -148.67	  1472400	 0.11893	 -0.017199 
03033571	 33571	  34	  -40	  -159.5	  1471200	 0.11893	 -0.018446 
03033581	 33581	  34	  -40	  -172.39	  1474900	 0.11893	 -0.019957 
03033591	 33591	  34	  -40	  -181.55	  1470500	 0.11893	 -0.020993 
03033601	 33601	  34	  -40	  -195.17	  1469900	 0.11893	 -0.022564 
03033611	 33611	  34	  -40	  -205.71	  1468700	 0.11893	 -0.023774 
03033621	 33621	  34	  -40	  -217.69	  1464700	 0.11846	 -0.025271 
03033631	 33631	  34	  -40	  -226.11	  1462900	 0.11846	 -0.026236 
03033641	 33641	  34	  -40	  -243.8	  1461600	 0.11846	 -0.028279 
03033651	 33651	  34	  -40	  -255.32	  1461000	 0.11846	 -0.02961 
03033661	 33661	  34	  -40	  -262.7	  1460700	 0.11833	 -0.03051 
03033671	 33671	  34	  -40	  -273.81	  1459400	 0.11833	 -0.03179 
03033681	 33681	  34	  -40	  -288.05	  1458200	 0.11833	 -0.033432 
03033691	 33691	  34	  -40	  -302.67	  1457600	 0.11833	 -0.035123 
03033701	 33701	  34	  -40	  -302.75	  1455100	 0.11799	 -0.035254 
03033711	 33711	  34	  -40	  -347.73	  1453300	 0.11799	 -0.040471 
03033721	 33721	  34	  -40	  -384.69	  1452100	 0.11799	 -0.044758 
03033731	 33731	  34	  -40	  -412.09	  1451500	 0.11799	 -0.047938 
03036141	 36141	  35	  -40	  -48.162	  1001000	 0.080573	 -0.0082738 
03036151	 36151	  35	  -41	  -95.431	  999730	 0.080573	 -0.016386 
03036161	 36161	  35	  -41	  -182.83	  999730	 0.080573	 -0.031393 
03036171	 36171	  34	  -40	  -263.95	  999730	 0.080573	 -0.045322 
03036181	 36181	  34	  -40	  -357.69	  999310	 0.080573	 -0.061407 
03036191	 36191	  34	  -40	  -415.84	  999310	 0.080573	 -0.07139 
03135741	 135740	  34	  -40	  -48.4	  1454200	 0.1216	 -0.0054677 
03135751	 135750	  34	  -40	  -94.681	  1449900	 0.1216	 -0.010684 
03135761	 135760	  34	  -40	  -179.43	  1448100	 0.1216	 -0.020237 
03135771	 135770	  34	  -40	  -265.85	  1446300	 0.1216	 -0.029969 
03135781	 135780	  34	  -40	  -351.08	  1445700	 0.1216	 -0.03957 
