File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
05025001	 25001	  0	  4	  44.856	  1498600	 0.11679	 0.0053631 
05025011	 25011	  0	  4	  77.205	  1493400	 0.11679	 0.0092183 
05025021	 25021	  0	  4	  78.352	  1491400	 0.11679	 0.0093505 
05025031	 25031	  0	  4	  80.02	  1490800	 0.11679	 0.009548 
05025091	 25091	  0	  8	  45.194	  1498000	 0.11705	 0.0053861 
05025101	 25101	  0	  8	  80.394	  1492800	 0.11705	 0.0095682 
05025111	 25111	  0	  8	  138.53	  1490800	 0.11705	 0.016479 
05025121	 25121	  0	  7	  148.32	  1489500	 0.11705	 0.017638 
05025141	 25141	  0	  7	  149.59	  1487100	 0.11685	 0.017818 
05025151	 25151	  0	  7	  153.2	  1481200	 0.11645	 0.018309 
05025161	 25161	  0	  7	  155.69	  1478700	 0.11645	 0.018594 
05025171	 25171	  2	  5	  141.42	  1478000	 0.11645	 0.016887 
05025181	 25181	  0	  7	  148.41	  1477400	 0.11645	 0.017718 
05025201	 25201	  0	  12	  81.095	  1480600	 0.117	 0.0096261 
05025211	 25211	  0	  12	  158.76	  1478700	 0.117	 0.018835 
05025221	 25221	  0	  12	  203.13	  1477400	 0.117	 0.024091 
05025241	 25241	  0	  12	  197.67	  1482300	 0.11749	 0.023338 
05025251	 25251	  0	  12	  204.07	  1480400	 0.11749	 0.024082 
05025261	 25261	  0	  11	  201.76	  1479200	 0.11749	 0.023801 
05025271	 25271	  0	  11	  195.45	  1477900	 0.11749	 0.023049 
05025281	 25281	  0	  30	  49.513	  1488800	 0.1179	 0.0058274 
05025291	 25291	  0	  30	  98.82	  1482400	 0.1179	 0.011611 
05025301	 25301	  0	  30	  184.82	  1480500	 0.1179	 0.021705 
05025311	 25311	  0	  30	  254.1	  1478600	 0.1179	 0.029826 
05025321	 25321	  0	  30	  281.33	  1477300	 0.1179	 0.033011 
05025331	 25331	  -1	  41	  0.74452	  1489600	 0.11761	 8.7949e-05 
05025341	 25341	  -1	  41	  1.4927	  1487600	 0.11857	 0.00017426 
05025351	 25351	  -1	  41	  2.9479	  1477500	 0.11857	 0.00034322 
05025361	 25361	  -1	  40	  4.4416	  1484300	 0.11911	 0.00051476 
05025371	 25371	  -1	  41	  6.0225	  1479300	 0.11911	 0.00069705 
05025381	 25381	  -1	  41	  7.5218	  1476700	 0.11911	 0.00087001 
05025391	 25391	  -1	  41	  15.032	  1477600	 0.11903	 0.0017407 
05025401	 25401	  -1	  41	  29.748	  1474500	 0.11903	 0.003442 
05025411	 25411	  -1	  41	  44.173	  1472600	 0.11903	 0.0051086 
05025421	 25421	  -1	  41	  59.461	  1478100	 0.11912	 0.0068795 
05025431	 25431	  -1	  41	  74.985	  1473700	 0.11912	 0.0086655 
05025441	 25441	  -1	  41	  90.423	  1471800	 0.11912	 0.010444 
05025451	 25451	  -1	  41	  100.88	  1470000	 0.11912	 0.011646 
05025461	 25461	  -1	  41	  115.18	  1468700	 0.11912	 0.013293 
05025471	 25471	  -1	  41	  129.54	  1482900	 0.11774	 0.015252 
05025481	 25481	  -1	  41	  146.19	  1474000	 0.11774	 0.017172 
05025491	 25491	  -1	  41	  159.01	  1472100	 0.11774	 0.018669 
05025501	 25501	  -1	  41	  173.02	  1469600	 0.11774	 0.0203 
05025511	 25511	  -1	  41	  184.72	  1471000	 0.11755	 0.02173 
05025521	 25521	  -1	  41	  195.39	  1466000	 0.11755	 0.022955 
05025531	 25531	  -1	  41	  205.8	  1464100	 0.11755	 0.024166 
05025541	 25541	  -1	  41	  225.11	  1461600	 0.11755	 0.026415 
05025551	 25551	  -1	  41	  234.45	  1472900	 0.1181	 0.027414 
05025561	 25561	  -1	  41	  245.87	  1467900	 0.1181	 0.028712 
05025571	 25571	  -1	  41	  259.15	  1465400	 0.1181	 0.030242 
05025581	 25581	  -1	  41	  267.66	  1463500	 0.1181	 0.03122 
05025591	 25591	  -1	  41	  276.54	  1475900	 0.11874	 0.032117 
05025601	 25601	  -1	  41	  289.51	  1470300	 0.11874	 0.033574 
05025611	 25611	  -1	  41	  300.94	  1469100	 0.11874	 0.034888 
05025621	 25621	  -1	  41	  305.17	  1467200	 0.11874	 0.035361 
05025631	 25631	  -1	  41	  29.64	  988490	 0.078584	 0.005226 
05025641	 25641	  -1	  41	  101.03	  988490	 0.078584	 0.017813 
05025651	 25651	  -1	  41	  194.78	  988490	 0.078584	 0.034343 
05025661	 25661	  -1	  41	  276.45	  988490	 0.078584	 0.048742 
05025671	 25671	  -1	  41	  29.61	  1905700	 0.15326	 0.0026648 
05025681	 25681	  -1	  41	  100.61	  1882600	 0.15326	 0.0090115 
05025691	 25691	  -1	  41	  190.56	  1877000	 0.15326	 0.017049 
05025701	 25701	  -1	  41	  277	  1872300	 0.15326	 0.024758 
05025711	 25711	  0	  4	  103.84	  1168800	 0.094514	 0.015208 
05025721	 25721	  0	  8	  181.93	  1166800	 0.094514	 0.026626 
05025731	 25731	  0	  11	  217.12	  1166300	 0.094514	 0.031771 
