File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
07051011	 51011	  0	  5.4	  0.664	  778190	 0.062773	 0.05302 
07051012	 51012	  0	  5.4	  0.664	  804970	 0.064797	 0.05146 
07051031	 51031	  0	  10	  0.664	  778190	 0.062773	 0.05302 
07051032	 51032	  0	  10	  0.664	  805320	 0.064797	 0.051469 
07051051	 51051	  0	  12.2	  0.664	  778530	 0.062773	 0.053029 
07051052	 51052	  0	  12.2	  0.664	  805670	 0.064797	 0.051477 
07051071	 51071	  0	  13.8	  0.664	  774940	 0.062429	 0.053339 
07051072	 51072	  0	  13.8	  0.664	  797290	 0.064235	 0.051893 
07051091	 51091	  0	  17.4	  0.664	  775270	 0.062429	 0.053348 
07051092	 51092	  0	  17.4	  0.664	  797640	 0.064235	 0.051901 
07051111	 51111	  0	  5.4	  0.892	  1109100	 0.089464	 0.049976 
07051112	 51112	  0	  5.4	  0.892	  997690	 0.08059	 0.055507 
07051131	 51131	  0	  10	  0.892	  1107600	 0.089464	 0.049951 
07051132	 51132	  0	  10	  0.892	  997260	 0.08059	 0.055498 
07051151	 51151	  0	  12.2	  0.892	  1106700	 0.089464	 0.049934 
07051152	 51152	  0	  12.2	  0.892	  997260	 0.08059	 0.055498 
07051171	 51171	  0	  13.8	  0.892	  1077100	 0.087072	 0.051306 
07051172	 51172	  0	  13.8	  0.892	  999030	 0.080698	 0.055433 
07051191	 51191	  0	  17.4	  0.892	  1076600	 0.087072	 0.051297 
07051192	 51192	  0	  17.4	  0.892	  998590	 0.080698	 0.055424 
07051211	 51211	  0	  5.4	  0.996	  1458200	 0.11962	 0.041463 
07051212	 51212	  0	  5.4	  0.996	  1496900	 0.1216	 0.040986 
07051231	 51231	  0	  10	  0.996	  1454500	 0.11962	 0.041422 
07051232	 51232	  0	  10	  0.996	  1492400	 0.1216	 0.040938 
07051251	 51251	  0	  12.2	  0.96	  1452000	 0.11962	 0.039898 
07051252	 51252	  0	  12.2	  0.996	  1489200	 0.1216	 0.040904 
07051271	 51271	  0	  13.8	  0.996	  1446100	 0.11918	 0.041539 
07051272	 51272	  0	  13.8	  0.996	  1476000	 0.12068	 0.041195 
07051291	 51291	  0	  17.4	  0.996	  1443000	 0.11918	 0.041504 
07051292	 51292	  0	  17.4	  0.996	  1472900	 0.12068	 0.04116 
07051311	 51311	  0	  5.4	  1.245	  1458400	 0.11963	 0.051822 
07051312	 51312	  0	  5.4	  1.245	  1464900	 0.12039	 0.051515 
07051331	 51331	  0	  10	  1.245	  1454600	 0.11963	 0.051771 
07051332	 51332	  0	  10	  1.245	  1461800	 0.12039	 0.051472 
07051351	 51351	  0	  12.2	  1.245	  1452200	 0.11963	 0.051736 
07051352	 51352	  0	  12.2	  1.245	  1459300	 0.12039	 0.051438 
07051371	 51371	  0	  13.8	  1.245	  1457700	 0.12019	 0.051479 
07051372	 51372	  0	  13.8	  1.245	  1466000	 0.12105	 0.05114 
07051391	 51391	  0	  17.4	  1.245	  1454000	 0.12019	 0.051428 
07051392	 51392	  0	  17.4	  1.245	  1463500	 0.12105	 0.051106 
07051411	 51411	  0	  5.4	  1.494	  1442300	 0.11933	 0.06214 
07051412	 51412	  0	  5.4	  1.494	  1473100	 0.1199	 0.062171 
07051431	 51431	  0	  10	  1.494	  1439300	 0.11933	 0.062088 
07051432	 51432	  0	  10	  1.494	  1470000	 0.1199	 0.062119 
07051451	 51451	  0	  12.2	  1.494	  1436800	 0.11933	 0.062047 
07051452	 51452	  0	  12.2	  1.494	  1467500	 0.1199	 0.062077 
07051471	 51471	  0	  13.8	  1.494	  1444200	 0.11989	 0.061768 
07051472	 51472	  0	  13.8	  1.494	  1465600	 0.1199	 0.062046 
07051491	 51491	  0	  17.4	  1.494	  1441100	 0.11989	 0.061717 
07051492	 51492	  0	  17.4	  1.494	  1462500	 0.1199	 0.061995 
07051511	 51511	  0	  5.4	  1.662	  1908900	 0.15833	 0.052046 
07051531	 51531	  0	  10	  1.662	  1899300	 0.15833	 0.051943 
07051551	 51551	  0	  12.2	  1.662	  1890500	 0.15833	 0.051849 
07051571	 51571	  0	  13.8	  1.662	  1880900	 0.15786	 0.051961 
07051591	 51591	  0	  17.4	  1.662	  1872300	 0.15786	 0.051868 
07059011	 59011	  0	  22.6	  0.664	  780560	 0.0628	 0.053051 
07059012	 59012	  0	  22.6	  0.664	  797610	 0.064148	 0.051998 
07059031	 59031	  0	  32.8	  0.664	  780220	 0.0628	 0.053042 
07059032	 59032	  0	  32.8	  0.664	  797610	 0.064148	 0.051998 
07059051	 59051	  0	  22.6	  0.892	  1079500	 0.087309	 0.051158 
07059052	 59052	  0	  22.6	  0.892	  986820	 0.079747	 0.056085 
07059071	 59071	  0	  32.8	  0.892	  1078600	 0.087309	 0.051141 
07059072	 59072	  0	  32.8	  0.892	  986390	 0.079747	 0.056075 
07059091	 59091	  0	  22.6	  0.996	  1466400	 0.11983	 0.041454 
07059092	 59092	  0	  22.6	  0.996	  1469900	 0.12044	 0.041242 
07059111	 59111	  0	  32.8	  0.996	  1462000	 0.11983	 0.041405 
07059112	 59112	  0	  32.8	  0.996	  1464900	 0.12044	 0.041187 
07059131	 59131	  0	  22.6	  1.245	  1444500	 0.11946	 0.051734 
07059132	 59132	  0	  22.6	  1.245	  1459500	 0.12076	 0.051218 
07059151	 59151	  0	  32.8	  1.245	  1441500	 0.11946	 0.051691 
07059152	 59152	  0	  32.8	  1.245	  1457000	 0.12076	 0.051184 
07059171	 59171	  0	  22.6	  1.494	  1442800	 0.12003	 0.061643 
07059172	 59172	  0	  22.6	  1.494	  1463000	 0.12005	 0.061897 
07059191	 59191	  0	  32.8	  1.494	  1440400	 0.12003	 0.061603 
07059192	 59192	  0	  32.8	  1.494	  1459300	 0.12005	 0.061835 
07059211	 59211	  0	  22.6	  1.662	  1856100	 0.15662	 0.05226 
07059231	 59231	  0	  32.8	  1.662	  1849200	 0.15662	 0.052183 
07059312	 59312	  0	  5.4	  1.857	  1466700	 0.12061	 0.07652 
07059332	 59332	  0	  10	  1.857	  1463500	 0.12061	 0.076456 
07059352	 59352	  0	  12.2	  1.857	  1461100	 0.12061	 0.076406 
07059372	 59372	  0	  13.8	  1.857	  1461400	 0.12064	 0.076387 
07059392	 59392	  0	  17.4	  1.857	  1458900	 0.12064	 0.076336 
07059412	 59412	  0	  22.6	  1.857	  1457300	 0.12045	 0.076469 
07059432	 59432	  0	  32.8	  1.857	  1454800	 0.12045	 0.076419 
