File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
08040171	 40171	  0	  -0.5	  1541200	  0.12039 
08040181	 40181	  1	  0.22	  1533800	  0.12039 
08040191	 40191	  2	  1.38	  1533100	  0.12039 
08040201	 40201	  3	  2.61	  1532400	  0.12039 
08040211	 40211	  4	  3.78	  1531800	  0.12039 
08040221	 40221	  5	  5	  1531100	  0.12039 
08040231	 40231	  6	  5.89	  1530400	  0.12039 
08040241	 40241	  7	  6.8	  1529800	  0.12039 
08040251	 40251	  8	  7.7	  1529800	  0.12039 
08040261	 40261	  9	  9.11	  1529100	  0.12039 
08040271	 40271	  10	  10.28	  1528400	  0.12039 
08040281	 40281	  11	  11.17	  1527800	  0.12039 
08040291	 40291	  12	  12.34	  1527800	  0.12039 
08040301	 40301	  13	  13.46	  1527100	  0.12039 
08040311	 40311	  14	  14.52	  1528100	  0.12 
08040321	 40321	  15	  15.55	  1521400	  0.12 
08040331	 40331	  16	  16.4	  1520800	  0.12 
08040341	 40341	  17	  17.53	  1520800	  0.12 
08040351	 40351	  18	  18.48	  1520800	  0.12 
08040361	 40361	  19	  19.67	  1520100	  0.12 
08040371	 40371	  20	  20.6	  1519500	  0.12 
08040381	 40381	  21	  21.83	  1519500	  0.12 
08040391	 40391	  22	  22.82	  1518800	  0.12 
08040401	 40401	  23	  23.93	  1518800	  0.12 
08040411	 40411	  24	  24.82	  1518100	  0.12 
08040421	 40421	  25	  25.95	  1518100	  0.12 
08040431	 40431	  26	  27.39	  1518100	  0.12 
08040441	 40441	  27	  28.14	  1517500	  0.12 
08040451	 40451	  28	  29.12	  1522900	  0.11996 
08040461	 40461	  29	  30.12	  1517600	  0.11996 
08040471	 40471	  30	  31.24	  1517000	  0.11996 
08040481	 40481	  31	  32.18	  1516300	  0.11996 
08040491	 40491	  32	  33.21	  1515600	  0.11996 
08040501	 40501	  33	  34.15	  1515600	  0.11996 
08040511	 40511	  34	  35.02	  1515000	  0.11996 
08040521	 40521	  35	  36.1	  1515000	  0.11996 
08040531	 40531	  0	  -0.59	  1520300	  0.12001 
08040541	 40541	  1	  0.25	  1514300	  0.12001 
08040551	 40551	  2	  1.13	  1513700	  0.12001 
08040561	 40561	  3	  2.21	  1513700	  0.12001 
08040571	 40571	  4	  3.36	  1513700	  0.12001 
08040581	 40581	  5	  4.41	  1513000	  0.12001 
08040591	 40591	  6	  5.3	  1513000	  0.12001 
08040601	 40601	  7	  6.86	  1512400	  0.12001 
08040611	 40611	  8	  7.88	  1512400	  0.12001 
08040621	 40621	  9	  8.66	  1512400	  0.12001 
08040631	 40631	  10	  9.62	  1511700	  0.12001 
08040641	 40641	  11	  10.87	  1511700	  0.12001 
08040651	 40651	  12	  11.95	  1511100	  0.12001 
08040661	 40661	  13	  13.39	  1511100	  0.12001 
08040671	 40671	  14	  14.48	  1512800	  0.11984 
08040681	 40681	  15	  15.58	  1508900	  0.11984 
08040691	 40691	  16	  16.56	  1508900	  0.11984 
08040701	 40701	  17	  17.59	  1508900	  0.11984 
08040711	 40711	  18	  18.61	  1508900	  0.11984 
08040721	 40721	  19	  19.64	  1508300	  0.11984 
08040731	 40731	  20	  20.58	  1508300	  0.11984 
08040741	 40741	  21	  21.6	  1508300	  0.11984 
08040751	 40751	  22	  22.82	  1507600	  0.11984 
08040761	 40761	  23	  24	  1507600	  0.11984 
08040771	 40771	  24	  25.12	  1506900	  0.11984 
08040781	 40781	  25	  26.24	  1506900	  0.11984 
08040791	 40791	  26	  27.28	  1506900	  0.11984 
08040801	 40801	  27	  28.43	  1506300	  0.11984 
08040811	 40811	  28	  29.03	  1510100	  0.11978 
08040821	 40821	  29	  30.13	  1506200	  0.11978 
08040831	 40831	  30	  31.4	  1506200	  0.11978 
08040841	 40841	  31	  32.65	  1505600	  0.11978 
08040851	 40851	  32	  33.44	  1505600	  0.11978 
08040861	 40861	  33	  34.19	  1504900	  0.11978 
08040871	 40871	  34	  35.05	  1504900	  0.11978 
08040881	 40881	  35	  36.44	  1504300	  0.11978 
