File name	 Run No	  Mean AoA (deg)	  Tip Speed Ratio	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
09071801	 71801	  0	  3.5	  0.996	  1444000	 0.12039	 0.04085 
09071811	 71811	  0	  3.25	  0.996	  1442800	 0.12039	 0.040837 
09071821	 71821	  0	  6	  1.245	  1442100	 0.12008	 0.051219 
09071831	 71831	  0	  4	  1.245	  1439100	 0.12008	 0.051177 
09071841	 71841	  0	  3.5	  1.245	  1437900	 0.12008	 0.051161 
09071851	 71851	  0	  3.25	  1.245	  1436700	 0.12008	 0.051144 
09071861	 71861	  0	  6	  1.494	  1440100	 0.12007	 0.061439 
09071871	 71871	  0	  4	  1.494	  1437100	 0.12007	 0.061389 
09071881	 71881	  0	  3.5	  1.494	  1435900	 0.12007	 0.061369 
09071891	 71891	  0	  3.25	  1.494	  1434700	 0.12007	 0.061349 
09471781	 71781	  0	  6	  0.996	  1451900	 0.12039	 0.040938 
