File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
11011962	 11962	  10	  4	  0.233	  1488300	 0.11919	 0.0097753 
11011972	 11972	  10	  6	  0.233	  1483900	 0.11919	 0.0097638 
11011982	 11982	  10	  8	  0.233	  1478800	 0.11919	 0.0097507 
11011992	 11992	  10	  10	  0.233	  1476900	 0.11919	 0.0097458 
11012002	 12002	  10	  4	  0.582	  1449200	 0.11756	 0.024632 
11012012	 12012	  10	  6	  0.582	  1447300	 0.11756	 0.02462 
11012022	 12022	  10	  8	  0.582	  1447300	 0.11756	 0.02462 
11012032	 12032	  10	  10	  0.582	  1446100	 0.11756	 0.024612 
11012052	 12052	  10	  4	  1.165	  1422400	 0.11514	 0.050386 
11012062	 12062	  10	  6	  1.165	  1417500	 0.11514	 0.050319 
11012072	 12072	  10	  8	  1.165	  1415700	 0.11514	 0.050294 
11012082	 12082	  10	  10	  1.165	  1414500	 0.11514	 0.050277 
11012092	 12092	  10	  4	  1.747	  1455600	 0.11849	 0.073263 
11012102	 12102	  10	  6	  1.747	  1453800	 0.11849	 0.073227 
11012112	 12112	  10	  8	  1.747	  1452500	 0.11849	 0.073202 
11012122	 12122	  10	  10	  1.747	  1451300	 0.11849	 0.073178 
11012132	 12132	  10	  4	  2.33	  1433700	 0.11685	 0.099031 
11012142	 12142	  10	  6	  2.33	  1432500	 0.11685	 0.098998 
11012152	 12152	  10	  8	  2.33	  1431300	 0.11685	 0.098965 
11012162	 12162	  10	  10	  2.33	  1430100	 0.11685	 0.098932 
11012172	 12172	  10	  4	  2.912	  1435700	 0.11686	 0.12382 
11012182	 12182	  10	  6	  2.912	  1432600	 0.11686	 0.12371 
11012192	 12192	  10	  8	  2.912	  1431400	 0.11686	 0.12367 
11012202	 12202	  10	  10	  2.912	  1430200	 0.11686	 0.12363 
11012212	 12212	  10	  4	  3.496	  1431700	 0.11664	 0.14888 
11012222	 12222	  10	  6	  3.496	  1431100	 0.11664	 0.14886 
11012232	 12232	  10	  8	  3.496	  1429900	 0.11664	 0.14881 
11012242	 12242	  10	  10	  3.496	  1429300	 0.11664	 0.14878 
11012252	 12252	  10	  4	  4.077	  1431000	 0.11638	 0.17412 
11012262	 12262	  10	  6	  4.077	  1428600	 0.11638	 0.17401 
11012272	 12272	  10	  8	  4.077	  1427400	 0.11638	 0.17395 
11012282	 12282	  10	  10	  4.077	  1426200	 0.11638	 0.17389 
11012302	 12302	  4	  10	  0.233	  1429000	 0.11617	 0.0099713 
11012312	 12312	  6	  10	  0.233	  1424100	 0.11617	 0.009958 
11012322	 12322	  8	  10	  0.233	  1421700	 0.11617	 0.0099514 
11012332	 12332	  15	  10	  0.233	  1419300	 0.11617	 0.0099448 
