File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
11000011	 11	  -5	  30	  1525000	  0.11844 
11000021	 21	  -5	  30	  1530900	  0.11958 
11000031	 31	  -5	  30	  993410	  0.077967 
11000041	 41	  -5	  30	  2050000	  0.16131 
11000051	 51	  -5	  30	  1515200	  0.11938 
11000061	 61	  -2	  30	  1505100	  0.1189 
11000071	 71	  -2	  30	  1509700	  0.11926 
11000221	 221	  -2	  28	  1551300	  0.12047 
11000851	 851	  -2	  28	  1472100	  0.11807 
11000861	 861	  -27	  28	  1522300	  0.11808 
11001341	 1341	  -27	  28	  1423800	  0.11598 
11001351	 1351	  -5	  28	  1536900	  0.11994 
11001731	 1731	  -5	  30	  1519000	  0.12017 
11001741	 1741	  -5	  30	  1461200	  0.11843 
11001751	 1751	  -5	  30	  1973000	  0.1606 
11001761	 1761	  -5	  30	  1569700	  0.11996 
11001851	 1851	  -5	  30	  1510100	  0.11792 
11001861	 1861	  -5	  30	  1008100	  0.078925 
11001951	 1951	  -5	  30	  1502100	  0.11665 
11002871	 2871	  -5	  30	  1500400	  0.11964 
11002881	 2881	  -5	  30	  1528100	  0.12052 
11002971	 2971	  -5	  30	  1475800	  0.11771 
11003201	 3201	  -5	  30	  1450400	  0.11736 
11003361	 3361	  -5	  30	  1460500	  0.11756 
11003751	 3751	  -5	  30	  1466600	  0.11753 
11004131	 4131	  -5	  30	  979960	  0.078464 
11004301	 4301	  -5	  30	  1892100	  0.15467 
11004471	 4471	  -5	  30	  1428800	  0.11673 
