S809   Clean
          
Run 13
Uncorrected data: vel=124.9 ft/s  Re=1.25 mill  AOA=-0.02  Cl=0.080  Cdp=0.00100  Cm=-0.0369
Corrected data:   vel=125.8 ft/s  Re=1.26 mill  AOA=0.0  Cl=0.080  Cdp=0.00100  Cm=-0.0359
DRAG COEFFICIENT BY MOMENTUM  =       0.0062
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.987, 0.000, 0.987
0.004, 0.622, 0.004, 0.573
0.009, 0.418, 0.009, 0.399
0.014, 0.246, 0.015, 0.296
0.019, 0.122, 0.023, 0.217
0.025, 0.039, 0.030, 0.142
0.032, -0.050, 0.037, 0.093
0.039, -0.110, 0.056, -0.021
0.045, -0.147, 0.088, -0.145
0.065, -0.265, 0.128, -0.332
0.101, -0.393, 0.171, -0.449
0.144, -0.478, 0.214, -0.573
0.189, -0.550, 0.255, -0.711
0.234, -0.608, 0.294, -0.803
0.278, -0.668, 0.332, -0.876
0.319, -0.677, 0.367, -0.920
0.356, -0.695, 0.398, -0.903
0.389, -0.736, 0.425, -0.845
0.420, -0.770, 0.450, -0.789
0.452, -0.765, 0.474, -0.754
0.488, -0.688, 0.502, -0.606
0.529, -0.628, 0.535, -0.365
0.575, -0.332, 0.574, -0.260
0.630, -0.249, 0.620, -0.144
0.687, -0.180, 0.672, -0.024
0.740, -0.112, 0.728, 0.087
0.797, -0.061, 0.792, 0.160
0.855, -0.009, 0.852, 0.237
0.910, 0.055, 0.907, 0.250
0.967, 0.136, 0.965, 0.247
1.002, 0.201, 1.002, 0.201
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.3660, 0.13400
7.4620, 0.13400
7.5560, 0.13300
7.6530, 0.13400
7.7540, 0.13400
7.8540, 0.13400
7.9490, 0.13400
8.0460, 0.13400
8.1420, 0.13400
8.2430, 0.13400
8.3350, 0.13400
8.4370, 0.13400
8.5270, 0.13400
8.6270, 0.13300
8.7200, 0.13300
8.8190, 0.13200
8.9120, 0.13300
9.0140, 0.13300
9.1160, 0.13300
9.2040, 0.13300
9.2920, 0.13400
9.3850, 0.13400
9.4880, 0.13500
9.5800, 0.13500
9.6750, 0.13600
9.7740, 0.13700
9.8700, 0.13700
9.9680, 0.13600
10.0630, 0.13600
10.1640, 0.13500
10.2520, 0.13500
10.3520, 0.13500
10.4480, 0.13400
10.5520, 0.13400
10.6400, 0.13400
10.7450, 0.13400
10.8430, 0.13400
10.9400, 0.13400
11.0370, 0.13300
11.1320, 0.13300
11.2310, 0.13300
11.3300, 0.13300
11.4210, 0.13300
11.5170, 0.13300
11.6170, 0.13300
11.7130, 0.13300
11.8060, 0.13300
11.9050, 0.13300
11.9970, 0.13300
12.1010, 0.13400
12.1910, 0.13300
12.2910, 0.13200
12.3850, 0.13000
12.4860, 0.12600
12.5850, 0.12400
12.6780, 0.12000
12.7750, 0.11700
12.8770, 0.11500
12.9810, 0.11500
13.0770, 0.11600
13.1740, 0.11800
13.2700, 0.12000
13.3670, 0.12400
13.4680, 0.12800
13.5640, 0.13100
13.6580, 0.13400
13.7600, 0.13500
13.8650, 0.13600
13.9500, 0.13600
14.0520, 0.13500
14.1420, 0.13500
14.2520, 0.13500
14.3400, 0.13500
14.4360, 0.13500
