S809   Clean
          
Run 51
Uncorrected data: vel=150.8 ft/s  Re=1.50 mill  AOA=0.04  Cl=0.110  Cdp=0.00090  Cm=-0.0381
Corrected data:   vel=151.9 ft/s  Re=1.51 mill  AOA=0.0  Cl=0.100  Cdp=0.00090  Cm=-0.0370
DRAG COEFFICIENT BY MOMENTUM  =       0.0079
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.984, 0.000, 0.984
0.004, 0.584, 0.004, 0.605
0.009, 0.368, 0.009, 0.464
0.014, 0.209, 0.015, 0.331
0.019, 0.084, 0.023, 0.248
0.025, -0.002, 0.030, 0.177
0.032, -0.083, 0.037, 0.129
0.039, -0.146, 0.056, 0.008
0.045, -0.195, 0.088, -0.128
0.065, -0.297, 0.128, -0.300
0.101, -0.422, 0.171, -0.446
0.144, -0.501, 0.214, -0.568
0.189, -0.578, 0.255, -0.683
0.234, -0.626, 0.294, -0.790
0.278, -0.678, 0.332, -0.852
0.319, -0.692, 0.367, -0.912
0.356, -0.701, 0.398, -0.894
0.389, -0.740, 0.425, -0.853
0.420, -0.771, 0.450, -0.786
0.452, -0.769, 0.474, -0.748
0.488, -0.697, 0.502, -0.540
0.529, -0.658, 0.535, -0.377
0.575, -0.336, 0.574, -0.264
0.630, -0.267, 0.620, -0.143
0.687, -0.186, 0.672, -0.012
0.740, -0.122, 0.728, 0.082
0.797, -0.056, 0.792, 0.172
0.855, -0.012, 0.852, 0.233
0.910, 0.044, 0.907, 0.255
0.967, 0.140, 0.965, 0.252
1.002, 0.196, 1.002, 0.196
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.7790, 0.19600
7.8530, 0.19600
7.9280, 0.19600
8.0040, 0.19600
8.0760, 0.19700
8.1530, 0.19700
8.2250, 0.19700
8.3020, 0.19700
8.3740, 0.19700
8.4480, 0.19700
8.5240, 0.19600
8.6010, 0.19600
8.6750, 0.19500
8.7450, 0.19400
8.8300, 0.19300
8.8950, 0.19300
8.9730, 0.19100
9.0490, 0.19000
9.1210, 0.19000
9.1990, 0.18900
9.2630, 0.19000
9.3400, 0.19000
9.4150, 0.19000
9.4940, 0.19000
9.5670, 0.19100
9.6300, 0.19200
9.7120, 0.19300
9.7900, 0.19400
9.8660, 0.19500
9.9520, 0.19600
10.0180, 0.19600
10.0920, 0.19600
10.1660, 0.19700
10.2400, 0.19700
10.3110, 0.19700
10.3940, 0.19600
10.4630, 0.19700
10.5480, 0.19600
10.6270, 0.19400
10.6960, 0.19400
10.7710, 0.19200
10.8510, 0.19200
10.9310, 0.19200
11.0020, 0.19200
11.0780, 0.19300
11.1500, 0.19400
11.2270, 0.19500
11.3170, 0.19500
11.3780, 0.19500
11.4570, 0.19500
11.5400, 0.19600
11.6070, 0.19600
11.6780, 0.19600
11.7580, 0.19700
11.8270, 0.19600
11.8970, 0.19700
11.9720, 0.19600
12.0510, 0.19500
12.1280, 0.19500
12.2000, 0.19300
12.2720, 0.19100
12.3490, 0.18900
12.4230, 0.18600
12.5000, 0.18200
12.5760, 0.17600
12.6530, 0.17200
12.7230, 0.16700
12.8010, 0.16400
12.8840, 0.16200
12.9720, 0.16400
13.0390, 0.16500
13.1130, 0.16800
13.1890, 0.17200
13.2660, 0.17800
