S809   Clean
          
Run 81
Uncorrected data: vel=72.9 ft/s  Re=0.75 mill  AOA=0.00  Cl=0.050  Cdp=0.00220  Cm=-0.0345
Corrected data:   vel=73.4 ft/s  Re=0.76 mill  AOA=0.0  Cl=0.050  Cdp=0.00220  Cm=-0.0337
DRAG COEFFICIENT BY MOMENTUM  =       0.0108
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.985, 0.000, 0.985
0.004, 0.669, 0.004, 0.486
0.009, 0.481, 0.009, 0.318
0.014, 0.299, 0.015, 0.252
0.019, 0.181, 0.023, 0.150
0.025, 0.095, 0.030, 0.100
0.032, -0.012, 0.037, 0.042
0.039, -0.085, 0.056, -0.062
0.045, -0.127, 0.088, -0.177
0.065, -0.219, 0.128, -0.389
0.101, -0.355, 0.171, -0.483
0.144, -0.456, 0.214, -0.627
0.189, -0.532, 0.255, -0.759
0.234, -0.597, 0.294, -0.848
0.278, -0.637, 0.332, -0.917
0.319, -0.648, 0.367, -0.946
0.356, -0.666, 0.398, -0.896
0.389, -0.717, 0.425, -0.841
0.420, -0.739, 0.450, -0.793
0.452, -0.717, 0.474, -0.760
0.488, -0.662, 0.502, -0.757
0.529, -0.602, 0.535, -0.365
0.575, -0.609, 0.574, -0.234
0.630, -0.189, 0.620, -0.160
0.687, -0.159, 0.672, -0.026
0.740, -0.118, 0.728, 0.069
0.797, -0.047, 0.792, 0.129
0.855, 0.000, 0.852, 0.227
0.910, 0.066, 0.907, 0.214
0.967, 0.128, 0.965, 0.232
1.002, 0.187, 1.002, 0.187
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.3790, 0.05100
7.4710, 0.05000
7.5410, 0.05100
7.6140, 0.05100
7.6970, 0.05100
7.7750, 0.05100
7.8540, 0.05100
7.9330, 0.05100
8.0110, 0.05100
8.0850, 0.05100
8.1640, 0.05100
8.2440, 0.05100
8.3140, 0.05100
8.3960, 0.05100
8.4700, 0.05100
8.5490, 0.05100
8.6260, 0.05100
8.7020, 0.05100
8.7800, 0.05100
8.8580, 0.05100
8.9350, 0.05100
9.0120, 0.05100
9.1020, 0.05100
9.1800, 0.05100
9.2420, 0.05100
9.3150, 0.05100
9.3920, 0.05100
9.4710, 0.05100
9.5500, 0.05100
9.6200, 0.05100
9.6960, 0.05100
9.7790, 0.05100
9.8580, 0.05100
9.9380, 0.05100
10.0130, 0.05100
10.0860, 0.05100
10.1630, 0.05100
10.2400, 0.05100
10.3100, 0.05100
10.3890, 0.05100
10.4700, 0.05100
10.5520, 0.05100
10.6260, 0.05100
10.7080, 0.05100
10.7850, 0.05100
10.8620, 0.05100
10.9390, 0.05100
11.0190, 0.05100
11.0940, 0.05100
11.1730, 0.05100
11.2500, 0.05100
11.3280, 0.05100
11.4070, 0.05100
11.4810, 0.05100
11.5550, 0.05100
11.6400, 0.05100
11.7170, 0.05100
11.7900, 0.05100
11.8670, 0.05100
11.9470, 0.05100
12.0260, 0.05100
12.1080, 0.05000
12.1820, 0.05000
12.2540, 0.04900
12.3360, 0.04900
12.4110, 0.04900
12.4900, 0.04700
12.5680, 0.04700
12.6410, 0.04600
12.7220, 0.04500
12.8040, 0.04400
12.8870, 0.04400
12.9710, 0.04300
13.0480, 0.04200
13.1250, 0.04300
13.2000, 0.04300
13.2750, 0.04300
13.3540, 0.04400
13.4370, 0.04500
13.5160, 0.04600
13.5940, 0.04700
13.6710, 0.04700
13.7530, 0.04900
13.8300, 0.04900
13.9100, 0.05000
13.9940, 0.05100
14.0610, 0.05100
14.1330, 0.05100
14.2210, 0.05100
14.2980, 0.05100
14.3690, 0.05100
14.4510, 0.05100
14.5310, 0.05100
14.6060, 0.05100
14.6790, 0.05100
14.7490, 0.05100
14.8250, 0.05100
14.9020, 0.05100
14.9830, 0.05100
15.0640, 0.05100
15.1390, 0.05100
15.2130, 0.05100
15.2870, 0.05100
15.3720, 0.05100
15.4470, 0.05100
15.5180, 0.05100
15.6010, 0.05100
15.6780, 0.05100
15.7570, 0.05100
15.8380, 0.05100
15.9230, 0.05100
16.0000, 0.05100
16.0760, 0.05100
16.1510, 0.05100
16.2260, 0.05100
16.3190, 0.05100
16.3870, 0.05100
16.4700, 0.05100
16.5530, 0.05100
16.6080, 0.05100
---------
         
Run 82
Uncorrected data: vel=71.9 ft/s  Re=0.74 mill  AOA=-2.02  Cl=-0.210  Cdp=-0.00030  Cm=-0.0274
Corrected data:   vel=72.5 ft/s  Re=0.75 mill  AOA=-2.1  Cl=-0.210  Cdp=-0.00030  Cm=-0.0282
DRAG COEFFICIENT BY MOMENTUM  =       0.0110
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.765, 0.000, 0.765
0.004, 0.943, 0.004, -0.220
0.009, 0.834, 0.009, -0.292
0.014, 0.670, 0.015, -0.285
0.019, 0.565, 0.023, -0.312
0.025, 0.468, 0.030, -0.340
0.032, 0.350, 0.037, -0.355
0.039, 0.280, 0.056, -0.414
0.045, 0.224, 0.088, -0.471
0.065, 0.093, 0.128, -0.639
0.101, -0.088, 0.171, -0.728
0.144, -0.213, 0.214, -0.853
0.189, -0.303, 0.255, -0.955
