S809  Leading Edge Grit Roughness Applied
          
Run 233
Uncorrected data: vel=124.4 ft/s  Re=1.24 mill  AOA=0.03  Cl=0.060  Cdp=0.00590  Cm=-0.0285
Corrected data:   vel=125.4 ft/s  Re=1.25 mill  AOA=0.0  Cl=0.050  Cdp=0.00570  Cm=-0.0277
DRAG COEFFICIENT BY MOMENTUM  =       0.0147
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.993, 0.000, 0.993
0.004, 0.584, 0.004, 0.580
0.009, 0.411, 0.009, 0.400
0.014, 0.276, 0.015, 0.316
0.019, 0.133, 0.023, 0.203
0.025, 0.098, 0.030, 0.137
0.032, -0.048, 0.037, 0.086
0.039, -0.060, 0.056, -0.017
0.045, -0.175, 0.088, -0.177
0.065, -0.248, 0.128, -0.327
0.101, -0.345, 0.171, -0.455
0.144, -0.459, 0.214, -0.567
0.189, -0.527, 0.255, -0.689
0.234, -0.580, 0.294, -0.806
0.278, -0.645, 0.332, -0.861
0.319, -0.639, 0.367, -0.919
0.356, -0.673, 0.398, -0.908
0.389, -0.716, 0.425, -0.851
0.420, -0.748, 0.450, -0.799
0.452, -0.741, 0.474, -0.686
0.488, -0.673, 0.502, -0.561
0.529, -0.531, 0.535, -0.414
0.575, -0.398, 0.574, -0.281
0.630, -0.283, 0.620, -0.160
0.687, -0.188, 0.672, -0.049
0.740, -0.129, 0.728, 0.048
0.797, -0.055, 0.792, 0.105
0.855, -0.006, 0.852, 0.177
0.910, 0.060, 0.907, 0.201
0.967, 0.129, 0.965, 0.203
1.002, 0.175, 1.002, 0.175
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.3720, 0.13400
7.4530, 0.13400
7.5260, 0.13300
7.5940, 0.13300
7.6690, 0.13400
7.7450, 0.13300
7.8250, 0.13400
7.9020, 0.13400
7.9760, 0.13400
8.0470, 0.13300
8.1190, 0.13400
8.1910, 0.13400
8.2680, 0.13300
8.3390, 0.13300
8.4100, 0.13300
8.4760, 0.13300
8.5560, 0.13300
8.6250, 0.13300
8.6970, 0.13300
8.7790, 0.13300
8.8440, 0.13300
8.9220, 0.13300
8.9980, 0.13400
9.0750, 0.13300
9.1500, 0.13300
9.2130, 0.13300
9.2820, 0.13300
9.3420, 0.13300
9.4220, 0.13300
9.4970, 0.13300
9.5660, 0.13300
9.6390, 0.13300
9.7170, 0.13300
9.7980, 0.13300
9.8620, 0.13400
9.9330, 0.13400
10.0130, 0.13300
10.0820, 0.13300
10.1530, 0.13300
10.2270, 0.13300
10.3010, 0.13200
10.3710, 0.13300
10.4500, 0.13300
10.5320, 0.13300
10.5960, 0.13300
10.6750, 0.13300
10.7480, 0.13300
10.8270, 0.13300
10.8980, 0.13300
10.9750, 0.13300
11.0470, 0.13300
11.1180, 0.13300
11.1890, 0.13300
11.2640, 0.13300
11.3380, 0.13300
11.4160, 0.13300
11.4870, 0.13300
11.5610, 0.13300
11.6290, 0.13300
11.7060, 0.13300
11.7750, 0.13100
11.8330, 0.13200
11.9210, 0.13200
12.0000, 0.12900
12.0730, 0.12900
12.1460, 0.12900
12.2170, 0.12600
12.2950, 0.12400
12.3610, 0.12200
12.4400, 0.11900
12.5130, 0.11700
12.5900, 0.11500
12.6550, 0.11400
12.7340, 0.11000
12.8120, 0.11200
