S809  Leading Edge Grit Roughness Applied
          
Run 271
Uncorrected data: vel=157.4 ft/s  Re=1.48 mill  AOA=-0.04  Cl=0.060  Cdp=0.00580  Cm=-0.0288
Corrected data:   vel=158.6 ft/s  Re=1.49 mill  AOA=0.0  Cl=0.050  Cdp=0.00560  Cm=-0.0281
DRAG COEFFICIENT BY MOMENTUM  =       0.0128
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.989, 0.000, 0.989
0.004, 0.591, 0.004, 0.574
0.009, 0.426, 0.009, 0.398
0.014, 0.280, 0.015, 0.308
0.019, 0.137, 0.023, 0.200
0.025, 0.116, 0.030, 0.135
0.032, -0.043, 0.037, 0.081
0.039, -0.059, 0.056, -0.028
0.045, -0.167, 0.088, -0.184
0.065, -0.235, 0.128, -0.315
0.101, -0.338, 0.171, -0.463
0.144, -0.456, 0.214, -0.569
0.189, -0.519, 0.255, -0.685
0.234, -0.588, 0.294, -0.820
0.278, -0.646, 0.332, -0.863
0.319, -0.652, 0.367, -0.916
0.356, -0.671, 0.398, -0.898
0.389, -0.708, 0.425, -0.841
0.420, -0.750, 0.450, -0.794
0.452, -0.740, 0.474, -0.694
0.488, -0.676, 0.502, -0.569
0.529, -0.538, 0.535, -0.412
0.575, -0.399, 0.574, -0.289
0.630, -0.281, 0.620, -0.151
0.687, -0.187, 0.672, -0.050
0.740, -0.125, 0.728, 0.045
0.797, -0.055, 0.792, 0.120
0.855, 0.001, 0.852, 0.176
0.910, 0.057, 0.907, 0.195
0.967, 0.134, 0.965, 0.206
1.002, 0.172, 1.002, 0.172
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.1650, 0.20200
7.2310, 0.20200
7.3060, 0.20200
7.3850, 0.20300
7.4550, 0.20200
7.5370, 0.20200
7.6020, 0.20100
7.6850, 0.20200
7.7540, 0.20200
7.8310, 0.20200
7.9070, 0.20200
7.9840, 0.20300
8.0560, 0.20300
8.1280, 0.20300
8.1910, 0.20200
8.2740, 0.20200
8.3450, 0.20200
8.4240, 0.20300
8.4910, 0.20400
8.5730, 0.20300
8.6330, 0.20200
8.7100, 0.20200
8.7740, 0.20200
8.8560, 0.20200
8.9300, 0.20200
9.0070, 0.20100
9.0810, 0.20100
9.1590, 0.20100
9.2160, 0.20000
9.2900, 0.20000
9.3540, 0.20000
9.4330, 0.20000
9.5050, 0.20100
9.5760, 0.20100
9.6430, 0.20100
9.7200, 0.20000
9.7940, 0.20100
9.8650, 0.20200
9.9420, 0.20200
10.0180, 0.20300
10.0800, 0.20300
10.1590, 0.20400
10.2220, 0.20400
10.2990, 0.20400
10.3670, 0.20400
10.4470, 0.20300
10.5190, 0.20400
10.5940, 0.20300
10.6640, 0.20300
10.7450, 0.20300
10.8210, 0.20300
10.8930, 0.20300
10.9620, 0.20300
11.0390, 0.20300
11.1010, 0.20300
11.1810, 0.20300
11.2560, 0.20200
11.3300, 0.20200
11.4070, 0.20300
11.4820, 0.20300
11.5530, 0.20300
11.6240, 0.20200
11.6980, 0.20200
11.7730, 0.20200
11.8410, 0.20100
11.9160, 0.20000
11.9870, 0.19900
12.0640, 0.19700
12.1330, 0.19600
12.2120, 0.19300
12.2840, 0.19100
12.3610, 0.18600
12.4350, 0.18500
12.5040, 0.18100
12.5730, 0.17600
