S809  Leading Edge Grit Roughness Applied
          
Run 157
Uncorrected data: vel=72.3 ft/s  Re=0.75 mill  AOA=-0.04  Cl=0.050  Cdp=0.00260  Cm=-0.0258
Corrected data:   vel=72.8 ft/s  Re=0.76 mill  AOA=-0.1  Cl=0.050  Cdp=0.00250  Cm=-0.0251
DRAG COEFFICIENT BY MOMENTUM  =       0.0159
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.972, 0.000, 0.972
0.004, 0.585, 0.004, 0.548
0.009, 0.426, 0.009, 0.375
0.014, 0.261, 0.015, 0.306
0.019, 0.152, 0.023, 0.183
0.025, 0.023, 0.030, 0.116
0.032, -0.065, 0.037, 0.064
0.039, -0.217, 0.056, -0.028
0.045, -0.182, 0.088, -0.178
0.065, -0.221, 0.128, -0.341
0.101, -0.355, 0.171, -0.466
0.144, -0.470, 0.214, -0.606
0.189, -0.536, 0.255, -0.733
0.234, -0.604, 0.294, -0.828
0.278, -0.654, 0.332, -0.898
0.319, -0.669, 0.367, -0.937
0.356, -0.673, 0.398, -0.908
0.389, -0.713, 0.425, -0.860
0.420, -0.754, 0.450, -0.790
0.452, -0.727, 0.474, -0.706
0.488, -0.668, 0.502, -0.565
0.529, -0.509, 0.535, -0.407
0.575, -0.403, 0.574, -0.276
0.630, -0.281, 0.620, -0.195
0.687, -0.200, 0.672, -0.045
0.740, -0.105, 0.728, 0.064
0.797, -0.061, 0.792, 0.090
0.855, -0.012, 0.852, 0.180
0.910, 0.075, 0.907, 0.179
0.967, 0.125, 0.965, 0.187
1.002, 0.172, 1.002, 0.172
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.5880, 0.05100
7.6610, 0.05100
7.7400, 0.05100
7.8200, 0.05100
7.8940, 0.05100
7.9680, 0.05100
8.0390, 0.05100
8.1110, 0.05100
8.1770, 0.05100
8.2640, 0.05100
8.3410, 0.05100
8.4130, 0.05100
8.4870, 0.05100
8.5620, 0.05100
8.6270, 0.05100
8.7070, 0.05100
8.7810, 0.05100
8.8560, 0.05100
8.9280, 0.05100
9.0050, 0.05100
9.0810, 0.05100
9.1550, 0.05100
9.2210, 0.05100
9.2910, 0.05100
9.3640, 0.05100
9.4410, 0.05100
9.5120, 0.05100
9.5840, 0.05100
9.6480, 0.05100
9.7380, 0.05100
9.8150, 0.05100
9.8760, 0.05100
9.9640, 0.05100
10.0360, 0.05100
10.1120, 0.05100
10.1800, 0.05100
10.2550, 0.05100
10.3300, 0.05100
10.4010, 0.05100
10.4730, 0.05100
10.5520, 0.05100
10.6290, 0.05100
10.7080, 0.05100
10.7890, 0.05100
10.8510, 0.05100
10.9290, 0.05100
11.0030, 0.05100
11.0740, 0.05100
11.1560, 0.05100
11.2290, 0.05100
11.3080, 0.05100
11.3800, 0.05000
11.4510, 0.05000
11.5300, 0.05000
11.6040, 0.05000
11.6790, 0.05100
11.7540, 0.05100
11.8240, 0.05000
11.8990, 0.05000
11.9740, 0.05000
12.0500, 0.04900
12.1250, 0.04900
12.1960, 0.04800
12.2700, 0.04800
12.3470, 0.04800
12.4210, 0.04500
12.4960, 0.04500
12.5670, 0.04400
12.6390, 0.04400
12.7180, 0.04300
12.7980, 0.04200
12.8770, 0.04100
12.9760, 0.04100
13.0310, 0.04100
13.1050, 0.04100
13.1780, 0.04100
13.2480, 0.04200
13.3250, 0.04200
13.4030, 0.04300
13.4790, 0.04300
13.5500, 0.04400
13.6300, 0.04500
13.7110, 0.04600
13.7790, 0.04700
13.8450, 0.04800
13.9250, 0.04800
13.9970, 0.04900
14.0730, 0.04900
14.1450, 0.05000
14.2210, 0.05000
14.2950, 0.05100
14.3720, 0.05000
14.4470, 0.05100
14.5290, 0.05100
14.5960, 0.05100
14.6670, 0.05100
14.7330, 0.05100
14.8040, 0.05100
14.8730, 0.05100
14.9560, 0.05100
15.0330, 0.05100
15.1120, 0.05100
15.1820, 0.05100
15.2580, 0.05100
15.3300, 0.05100
15.4060, 0.05100
15.4860, 0.05100
15.5610, 0.05100
15.6260, 0.05100
15.7000, 0.05100
15.7780, 0.05100
15.8570, 0.05100
15.9320, 0.05100
16.0120, 0.05100
16.0830, 0.05100
16.1600, 0.05100
16.2340, 0.05100
16.3110, 0.05100
16.3880, 0.05100
16.4680, 0.05100
---------
         
Run 158
Uncorrected data: vel=71.9 ft/s  Re=0.75 mill  AOA=-1.96  Cl=-0.190  Cdp=0.00410  Cm=-0.0188
Corrected data:   vel=72.5 ft/s  Re=0.75 mill  AOA=-2.0  Cl=-0.180  Cdp=0.00400  Cm=-0.0195
DRAG COEFFICIENT BY MOMENTUM  =       0.0160
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.855, 0.000, 0.855
0.004, 0.925, 0.004, -0.052
0.009, 0.792, 0.009, -0.177
0.014, 0.627, 0.015, -0.132
0.019, 0.508, 0.023, -0.229
0.025, 0.418, 0.030, -0.258
0.032, 0.299, 0.037, -0.287
0.039, 0.151, 0.056, -0.357
0.045, 0.152, 0.088, -0.463
0.065, 0.058, 0.128, -0.585
0.101, -0.118, 0.171, -0.676
0.144, -0.242, 0.214, -0.817
0.189, -0.341, 0.255, -0.920
0.234, -0.426, 0.294, -0.995
0.278, -0.491, 0.332, -1.047
0.319, -0.503, 0.367, -1.076
0.356, -0.536, 0.398, -1.032
0.389, -0.588, 0.425, -0.968
0.420, -0.621, 0.450, -0.884
0.452, -0.638, 0.474, -0.779
0.488, -0.576, 0.502, -0.634
0.529, -0.452, 0.535, -0.463
0.575, -0.340, 0.574, -0.317
0.630, -0.209, 0.620, -0.224
0.687, -0.157, 0.672, -0.094
0.740, -0.097, 0.728, -0.001
0.797, -0.023, 0.792, 0.050
0.855, 0.006, 0.852, 0.134
0.910, 0.063, 0.907, 0.137
0.967, 0.124, 0.965, 0.161
1.002, 0.170, 1.002, 0.170
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.9850, 0.05100
8.0620, 0.05100
8.1330, 0.05100
8.1990, 0.05100
8.2810, 0.05000
8.3550, 0.05100
8.4300, 0.05100
8.5010, 0.05100
8.5780, 0.05100
8.6490, 0.05100
8.7190, 0.05000
8.7990, 0.05000
8.8700, 0.05000
8.9490, 0.05000
9.0270, 0.05100
9.1000, 0.05000
9.1690, 0.05000
9.2330, 0.05100
9.3060, 0.05100
9.3780, 0.05100
9.4560, 0.05100
9.5290, 0.05100
9.5960, 0.05100
9.6730, 0.05100
9.7490, 0.05000
9.8260, 0.05100
9.8980, 0.05100
9.9750, 0.05000
10.0440, 0.05100
10.1180, 0.05100
10.1890, 0.05000
10.2640, 0.05000
10.3430, 0.05000
10.4150, 0.05100
10.4860, 0.05000
10.5610, 0.05000
10.6350, 0.05000
10.7150, 0.05100
10.7940, 0.05100
10.8680, 0.05100
10.9360, 0.05000
11.0050, 0.05000
11.0830, 0.05000
11.1620, 0.05100
11.2360, 0.05100
11.3130, 0.05100
11.3850, 0.05100
11.4570, 0.05100
11.5300, 0.05000
11.6050, 0.05000
11.6810, 0.05000
11.7510, 0.05000
11.8220, 0.05000
11.9010, 0.05100
11.9840, 0.05000
12.0550, 0.05000
12.1330, 0.05000
12.2010, 0.05000
12.2790, 0.05000
12.3500, 0.05000
12.4220, 0.05000
12.5000, 0.05000
12.5690, 0.04800
12.6440, 0.05000
12.7230, 0.04800
12.8030, 0.04800
12.8780, 0.04800
12.9630, 0.04700
13.0390, 0.04600
13.1090, 0.04600
13.1820, 0.04500
13.2600, 0.04300
13.3310, 0.04400
13.4060, 0.04200
13.4870, 0.04200
13.5600, 0.04100
13.6410, 0.04200
13.7130, 0.04100
13.7880, 0.04200
13.8670, 0.04200
13.9310, 0.04200
14.0130, 0.04200
14.0890, 0.04300
14.1610, 0.04400
14.2430, 0.04500
14.3100, 0.04500
14.3870, 0.04600
14.4630, 0.04600
14.5350, 0.04700
14.6140, 0.04800
14.6800, 0.04900
14.7470, 0.04900
14.8190, 0.04900
14.8960, 0.05000
14.9730, 0.05000
15.0520, 0.05000
15.1290, 0.05000
15.1980, 0.05000
15.2710, 0.05000
15.3460, 0.05000
15.4250, 0.05000
15.5020, 0.05000
15.5680, 0.05000
15.6430, 0.05000
15.7180, 0.05000
15.8030, 0.05000
15.8760, 0.05000
15.9600, 0.05000
16.0330, 0.05000
16.1070, 0.05000
16.1730, 0.05000
16.2500, 0.05000
16.3270, 0.05000
16.4070, 0.05100
16.4780, 0.05100
16.5590, 0.05100
16.6330, 0.05100
16.7020, 0.05100
16.7760, 0.05100
16.8530, 0.05100
---------
         
Run 159
Uncorrected data: vel=73.4 ft/s  Re=0.75 mill  AOA=-3.98  Cl=-0.360  Cdp=0.01070  Cm=-0.0065
Corrected data:   vel=74.0 ft/s  Re=0.76 mill  AOA=-4.1  Cl=-0.350  Cdp=0.01050  Cm=-0.0084
DRAG COEFFICIENT BY MOMENTUM  =       0.0263
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.414, 0.000, 0.414
0.004, 0.974, 0.004, -0.764
0.009, 0.955, 0.009, -0.750
0.014, 0.853, 0.015, -0.615
0.019, 0.740, 0.023, -0.652
0.025, 0.658, 0.030, -0.633
0.032, 0.554, 0.037, -0.627
0.039, 0.495, 0.056, -0.646
0.045, 0.384, 0.088, -0.685
0.065, 0.275, 0.128, -0.761
0.101, 0.091, 0.171, -0.849
0.144, -0.059, 0.214, -0.961
0.189, -0.192, 0.255, -1.021
0.234, -0.286, 0.294, -1.099
0.278, -0.352, 0.332, -1.123
0.319, -0.403, 0.367, -1.149
0.356, -0.443, 0.398, -1.067
0.389, -0.479, 0.425, -0.968
0.420, -0.520, 0.450, -0.853
0.452, -0.540, 0.474, -0.722
0.488, -0.508, 0.502, -0.552
0.529, -0.386, 0.535, -0.378
0.575, -0.284, 0.574, -0.237
0.630, -0.204, 0.620, -0.201
0.687, -0.127, 0.672, -0.127
0.740, -0.062, 0.728, -0.113
0.797, -0.024, 0.792, -0.104
0.855, -0.020, 0.852, -0.050
0.910, 0.028, 0.907, -0.029
0.967, 0.057, 0.965, 0.038
1.002, 0.088, 1.002, 0.088
         
Wake data, 120 data points
Wake pos (in), Wake Q
8.1220, 0.05200
8.2210, 0.05200
8.3140, 0.05200
8.4000, 0.05200
8.4910, 0.05300
8.5790, 0.05200
8.6800, 0.05300
8.7710, 0.05200
8.8590, 0.05200
8.9530, 0.05200
9.0540, 0.05200
9.1390, 0.05200
9.2220, 0.05200
9.3090, 0.05200
9.3980, 0.05200
9.4940, 0.05200
9.5820, 0.05200
9.6770, 0.05200
9.7690, 0.05200
9.8600, 0.05200
9.9560, 0.05200
10.0440, 0.05200
10.1360, 0.05200
10.2250, 0.05000
10.3180, 0.05200
10.4180, 0.05200
10.5050, 0.05200
10.6040, 0.05200
10.6980, 0.05200
10.7890, 0.04900
10.8840, 0.05200
10.9730, 0.05000
11.0670, 0.05100
11.1600, 0.05000
11.2530, 0.04900
11.3510, 0.04900
11.4420, 0.05200
11.5330, 0.04900
11.6290, 0.05100
11.7150, 0.04800
11.8060, 0.04400
11.9010, 0.04500
11.9870, 0.05100
12.0890, 0.05100
12.1760, 0.05200
12.1610, 0.05200
12.3610, 0.05100
12.4520, 0.05100
12.5500, 0.05100
12.6350, 0.05100
12.7240, 0.04900
12.8310, 0.05000
12.9220, 0.04900
13.0240, 0.04900
13.1140, 0.04900
13.2050, 0.04900
13.2980, 0.04700
13.3960, 0.04800
13.4820, 0.04600
13.5820, 0.04600
13.6750, 0.04500
13.7710, 0.04500
13.8640, 0.04300
13.9600, 0.04300
14.0460, 0.04300
14.1390, 0.04500
14.2360, 0.04500
14.3310, 0.04600
14.4220, 0.04500
14.5140, 0.04500
14.6010, 0.04600
14.6910, 0.04500
14.7820, 0.04600
14.8710, 0.04700
14.9670, 0.04700
15.0610, 0.04800
15.1530, 0.04800
15.2440, 0.04800
15.3330, 0.04900
15.4360, 0.04900
15.5220, 0.05000
15.6120, 0.05100
15.7030, 0.05100
15.8050, 0.05200
15.8980, 0.05100
15.9530, 0.05200
16.0890, 0.05200
16.1740, 0.05200
16.2690, 0.05200
16.3680, 0.05200
16.4600, 0.05200
16.5510, 0.05200
16.6410, 0.05200
16.7420, 0.05200
16.8260, 0.05200
16.9110, 0.05200
17.0110, 0.05200
17.1030, 0.05200
17.1980, 0.05200
17.2840, 0.05200
17.3800, 0.05200
17.4810, 0.05200
17.5720, 0.05200
17.6710, 0.05200
17.7600, 0.05200
17.8550, 0.05200
17.9520, 0.05200
18.0410, 0.05200
18.1380, 0.05200
18.2300, 0.05200
18.3230, 0.05200
18.4140, 0.05200
18.5070, 0.05200
18.5950, 0.05200
18.6850, 0.05200
18.7830, 0.05200
18.8810, 0.05200
18.9780, 0.05200
19.0700, 0.05200
19.1640, 0.05200
---------
         
Run 160
Uncorrected data: vel=71.5 ft/s  Re=0.74 mill  AOA=-6.06  Cl=-0.450  Cdp=0.01910  Cm=-0.0045
Corrected data:   vel=72.1 ft/s  Re=0.75 mill  AOA=-6.2  Cl=-0.430  Cdp=0.01870  Cm=-0.0069
Wake survey not taken: Drag Coefficient by Momentum not available.
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, -0.229, 0.000, -0.229
0.004, 0.928, 0.004, -1.504
0.009, 0.993, 0.009, -1.367
0.014, 0.945, 0.015, -1.090
0.019, 0.870, 0.023, -1.012
0.025, 0.835, 0.030, -0.977
0.032, 0.707, 0.037, -0.942
0.039, 0.605, 0.056, -0.887
0.045, 0.566, 0.088, -0.884
0.065, 0.441, 0.128, -0.935
0.101, 0.239, 0.171, -0.956
0.144, 0.063, 0.214, -1.019
0.189, -0.067, 0.255, -1.070
0.234, -0.175, 0.294, -1.085
0.278, -0.260, 0.332, -1.084
0.319, -0.316, 0.367, -0.992
0.356, -0.367, 0.398, -0.852
0.389, -0.420, 0.425, -0.681
0.420, -0.474, 0.450, -0.527
0.452, -0.526, 0.474, -0.377
0.488, -0.483, 0.502, -0.246
0.529, -0.383, 0.535, -0.223
0.575, -0.277, 0.574, -0.229
0.630, -0.186, 0.620, -0.260
0.687, -0.140, 0.672, -0.236
0.740, -0.105, 0.728, -0.232
0.797, -0.073, 0.792, -0.248
0.855, -0.093, 0.852, -0.224
0.910, -0.069, 0.907, -0.247
0.967, -0.090, 0.965, -0.216
1.002, -0.154, 1.002, -0.154
---------
         
Run 161
Uncorrected data: vel=71.2 ft/s  Re=0.74 mill  AOA=-7.93  Cl=-0.540  Cdp=0.03260  Cm=-0.0039
Corrected data:   vel=71.9 ft/s  Re=0.75 mill  AOA=-8.0  Cl=-0.520  Cdp=0.03180  Cm=-0.0068
Wake survey not taken: Drag Coefficient by Momentum not available.
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, -0.920, 0.000, -0.920
0.004, 0.810, 0.004, -2.187
0.009, 0.978, 0.009, -1.947
0.014, 0.978, 0.015, -1.482
0.019, 0.942, 0.023, -1.335
0.025, 0.919, 0.030, -1.273
0.032, 0.822, 0.037, -1.191
0.039, 0.738, 0.056, -1.107
0.045, 0.686, 0.088, -1.042
0.065, 0.571, 0.128, -1.035
0.101, 0.359, 0.171, -1.035
0.144, 0.192, 0.214, -1.073
0.189, 0.055, 0.255, -1.096
0.234, -0.093, 0.294, -1.087
0.278, -0.173, 0.332, -1.031
0.319, -0.232, 0.367, -0.949
0.356, -0.301, 0.398, -0.775
0.389, -0.372, 0.425, -0.599
0.420, -0.431, 0.450, -0.457
0.452, -0.472, 0.474, -0.329
0.488, -0.438, 0.502, -0.268
0.529, -0.353, 0.535, -0.288
0.575, -0.252, 0.574, -0.266
0.630, -0.183, 0.620, -0.299
0.687, -0.145, 0.672, -0.281
0.740, -0.111, 0.728, -0.294
0.797, -0.088, 0.792, -0.308
0.855, -0.120, 0.852, -0.289
0.910, -0.126, 0.907, -0.305
0.967, -0.161, 0.965, -0.308
1.002, -0.235, 1.002, -0.235
---------
         
Run 162
Uncorrected data: vel=71.1 ft/s  Re=0.74 mill  AOA=-10.04  Cl=-0.620  Cdp=0.04590  Cm=-0.0044
Corrected data:   vel=71.8 ft/s  Re=0.75 mill  AOA=-10.2  Cl=-0.590  Cdp=0.04460  Cm=-0.0077
Wake survey not taken: Drag Coefficient by Momentum not available.
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, -1.719, 0.000, -1.719
0.004, 0.602, 0.004, -2.886
0.009, 0.899, 0.009, -2.555
0.014, 0.963, 0.015, -1.878
0.019, 0.975, 0.023, -1.672
0.025, 0.969, 0.030, -1.567
0.032, 0.899, 0.037, -1.471
0.039, 0.828, 0.056, -1.312
0.045, 0.789, 0.088, -1.201
0.065, 0.658, 0.128, -1.155
0.101, 0.442, 0.171, -1.127
0.144, 0.264, 0.214, -1.123
0.189, 0.137, 0.255, -1.121
0.234, -0.006, 0.294, -1.106
0.278, -0.108, 0.332, -1.005
0.319, -0.189, 0.367, -0.890
0.356, -0.252, 0.398, -0.678
0.389, -0.326, 0.425, -0.514
0.420, -0.383, 0.450, -0.386
0.452, -0.430, 0.474, -0.347
0.488, -0.404, 0.502, -0.322
0.529, -0.338, 0.535, -0.321
0.575, -0.287, 0.574, -0.313
0.630, -0.182, 0.620, -0.341
0.687, -0.147, 0.672, -0.320
0.740, -0.120, 0.728, -0.325
0.797, -0.118, 0.792, -0.345
0.855, -0.141, 0.852, -0.344
0.910, -0.156, 0.907, -0.381
0.967, -0.196, 0.965, -0.359
1.002, -0.289, 1.002, -0.289
---------
         
Run 163
Uncorrected data: vel=71.3 ft/s  Re=0.74 mill  AOA=-11.93  Cl=-0.700  Cdp=0.06320  Cm=-0.0018
Corrected data:   vel=72.2 ft/s  Re=0.75 mill  AOA=-12.1  Cl=-0.670  Cdp=0.06120  Cm=-0.0056
Wake survey not taken: Drag Coefficient by Momentum not available.
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, -2.657, 0.000, -2.657
0.004, 0.331, 0.004, -3.636
0.009, 0.774, 0.009, -3.201
0.014, 0.924, 0.015, -2.359
0.019, 0.975, 0.023, -2.032
0.025, 0.987, 0.030, -1.873
0.032, 0.951, 0.037, -1.719
0.039, 0.903, 0.056, -1.514
0.045, 0.857, 0.088, -1.333
0.065, 0.758, 0.128, -1.262
0.101, 0.552, 0.171, -1.167
0.144, 0.362, 0.214, -1.176
0.189, 0.215, 0.255, -1.126
0.234, 0.062, 0.294, -1.071
0.278, -0.035, 0.332, -0.946
0.319, -0.104, 0.367, -0.763
0.356, -0.182, 0.398, -0.566
0.389, -0.268, 0.425, -0.445
0.420, -0.338, 0.450, -0.392
0.452, -0.373, 0.474, -0.380
0.488, -0.387, 0.502, -0.362
0.529, -0.303, 0.535, -0.368
0.575, -0.246, 0.574, -0.356
0.630, -0.201, 0.620, -0.387
0.687, -0.155, 0.672, -0.387
0.740, -0.122, 0.728, -0.389
0.797, -0.122, 0.792, -0.422
0.855, -0.168, 0.852, -0.409
0.910, -0.189, 0.907, -0.424
0.967, -0.256, 0.965, -0.409
1.002, -0.352, 1.002, -0.352
---------
         
Run 164
Uncorrected data: vel=71.4 ft/s  Re=0.74 mill  AOA=-14.05  Cl=-0.750  Cdp=0.08020  Cm=-0.0025
Corrected data:   vel=72.4 ft/s  Re=0.75 mill  AOA=-14.2  Cl=-0.710  Cdp=0.07750  Cm=-0.0066
Wake survey not taken: Drag Coefficient by Momentum not available.
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, -3.716, 0.000, -3.716
0.004, 0.016, 0.004, -4.454
0.009, 0.591, 0.009, -3.698
0.014, 0.834, 0.015, -2.783
0.019, 0.935, 0.023, -2.412
0.025, 0.993, 0.030, -2.186
0.032, 0.974, 0.037, -2.023
0.039, 0.955, 0.056, -1.717
0.045, 0.919, 0.088, -1.468
0.065, 0.840, 0.128, -1.329
0.101, 0.633, 0.171, -1.200
0.144, 0.453, 0.214, -1.148
0.189, 0.307, 0.255, -1.029
0.234, 0.148, 0.294, -0.913
0.278, 0.049, 0.332, -0.759
0.319, -0.047, 0.367, -0.590
0.356, -0.120, 0.398, -0.455
0.389, -0.202, 0.425, -0.432
0.420, -0.297, 0.450, -0.415
0.452, -0.344, 0.474, -0.424
0.488, -0.338, 0.502, -0.400
0.529, -0.289, 0.535, -0.407
0.575, -0.244, 0.574, -0.417
0.630, -0.173, 0.620, -0.429
0.687, -0.163, 0.672, -0.405
0.740, -0.148, 0.728, -0.415
0.797, -0.134, 0.792, -0.447
0.855, -0.184, 0.852, -0.441
0.910, -0.218, 0.907, -0.478
0.967, -0.274, 0.965, -0.457
1.002, -0.395, 1.002, -0.395
---------
         
Run 165
Uncorrected data: vel=71.2 ft/s  Re=0.74 mill  AOA=-16.04  Cl=-0.770  Cdp=0.10250  Cm=-0.0025
Corrected data:   vel=72.3 ft/s  Re=0.75 mill  AOA=-16.2  Cl=-0.730  Cdp=0.09870  Cm=-0.0067
Wake survey not taken: Drag Coefficient by Momentum not available.
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, -4.546, 0.000, -4.546
0.004, -0.258, 0.004, -5.144
0.009, 0.417, 0.009, -4.017
0.014, 0.739, 0.015, -3.098
0.019, 0.898, 0.023, -2.637
0.025, 0.974, 0.030, -2.349
0.032, 0.981, 0.037, -2.180
0.039, 0.972, 0.056, -1.855
0.045, 0.948, 0.088, -1.514
0.065, 0.885, 0.128, -1.296
0.101, 0.700, 0.171, -1.139
0.144, 0.534, 0.214, -1.030
0.189, 0.370, 0.255, -0.854
0.234, 0.212, 0.294, -0.683
0.278, 0.109, 0.332, -0.580
0.319, 0.003, 0.367, -0.490
0.356, -0.075, 0.398, -0.468
0.389, -0.166, 0.425, -0.453
0.420, -0.249, 0.450, -0.468
0.452, -0.291, 0.474, -0.459
0.488, -0.323, 0.502, -0.440
0.529, -0.275, 0.535, -0.445
0.575, -0.232, 0.574, -0.448
0.630, -0.182, 0.620, -0.481
0.687, -0.162, 0.672, -0.461
0.740, -0.161, 0.728, -0.467
0.797, -0.160, 0.792, -0.481
0.855, -0.224, 0.852, -0.473
0.910, -0.258, 0.907, -0.497
0.967, -0.320, 0.965, -0.481
1.002, -0.445, 1.002, -0.445
---------
         
Run 166
Uncorrected data: vel=71.0 ft/s  Re=0.74 mill  AOA=-17.92  Cl=-0.890  Cdp=0.17320  Cm=0.0322
Corrected data:   vel=72.5 ft/s  Re=0.75 mill  AOA=-18.1  Cl=-0.830  Cdp=0.16480  Cm=0.0259
Wake survey not taken: Drag Coefficient by Momentum not available.
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, -5.115, 0.000, -5.115
0.004, -0.486, 0.004, -5.610
0.009, 0.276, 0.009, -4.159
0.014, 0.656, 0.015, -3.290
0.019, 0.845, 0.023, -2.819
0.025, 0.942, 0.030, -2.517
0.032, 0.972, 0.037, -2.335
0.039, 0.989, 0.056, -1.957
0.045, 0.966, 0.088, -1.593
0.065, 0.917, 0.128, -1.353
0.101, 0.725, 0.171, -1.136
0.144, 0.573, 0.214, -1.054
0.189, 0.417, 0.255, -0.917
0.234, 0.240, 0.294, -0.842
0.278, 0.133, 0.332, -0.773
0.319, 0.016, 0.367, -0.702
0.356, -0.053, 0.398, -0.647
0.389, -0.150, 0.425, -0.617
0.420, -0.242, 0.450, -0.615
0.452, -0.293, 0.474, -0.604
0.488, -0.326, 0.502, -0.592
0.529, -0.282, 0.535, -0.590
0.575, -0.244, 0.574, -0.605
0.630, -0.189, 0.620, -0.648
0.687, -0.197, 0.672, -0.628
0.740, -0.198, 0.728, -0.669
0.797, -0.191, 0.792, -0.692
0.855, -0.269, 0.852, -0.657
0.910, -0.326, 0.907, -0.683
0.967, -0.419, 0.965, -0.655
1.002, -0.601, 1.002, -0.601
---------
         
Run 167
Uncorrected data: vel=70.4 ft/s  Re=0.73 mill  AOA=-20.03  Cl=-0.730  Cdp=0.31720  Cm=0.0826
Corrected data:   vel=72.7 ft/s  Re=0.75 mill  AOA=-20.1  Cl=-0.660  Cdp=0.29430  Cm=0.0732
